"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary.Quote","Stock.Exchange"
"TFSC","1347 Capital Corp.","9.85","$58.59M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfsc","NASDAQ"
"TFSCR","1347 Capital Corp.","0.16","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscr","NASDAQ"
"TFSCU","1347 Capital Corp.","10.3","$43.05M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscu","NASDAQ"
"TFSCW","1347 Capital Corp.","0.18","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscw","NASDAQ"
"PIH","1347 Property Insurance Holdings, Inc.","6.99","$43.23M","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pih","NASDAQ"
"FLWS","1-800 FLOWERS.COM, Inc.","7.01","$454.68M","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws","NASDAQ"
"FCTY","1st Century Bancshares, Inc","7.55","$77.93M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcty","NASDAQ"
"FCCY","1st Constitution Bancorp (NJ)","11.76","$93.19M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy","NASDAQ"
"SRCE","1st Source Corporation","27.96","$729.26M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce","NASDAQ"
"VNET","21Vianet Group, Inc.","19.08","$1.66B","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet","NASDAQ"
"TWOU","2U, Inc.","21.07","$960.29M","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twou","NASDAQ"
"JOBS","51job, Inc.","26.49","$1.56B","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs","NASDAQ"
"SIXD","6D Global Technologies, Inc.","2.9","$226.92M","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/sixd","NASDAQ"
"CAFD","8point3 Energy Partners LP","14.85","$1.05B","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cafd","NASDAQ"
"EGHT","8x8 Inc","12.5","$1.12B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght","NASDAQ"
"AVHI","A V Homes, Inc.","10.4","$232.38M","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi","NASDAQ"
"SHLM","A. Schulman, Inc.","23.87","$699.34M","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm","NASDAQ"
"AAON","AAON, Inc.","20.78","$1.12B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon","NASDAQ"
"ABAX","ABAXIS, Inc.","53.62","$1.22B","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax","NASDAQ"
"ABY","Abengoa Yield plc","18.27","$1.83B","2014","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aby","NASDAQ"
"ABGB","Abengoa, S.A.","0.87","$160.22M","2013","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/abgb","NASDAQ"
"ABEO","Abeona Therapeutics Inc.","2.84","$92.96M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeo","NASDAQ"
"ABEOW","Abeona Therapeutics Inc.","0.9999","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeow","NASDAQ"
"ABIL","Ability Inc.","9.09","$95.76M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/abil","NASDAQ"
"ABILW","Ability Inc.","1.18","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/abilw","NASDAQ"
"ABMD","ABIOMED, Inc.","86.68","$3.68B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd","NASDAQ"
"AXAS","Abraxas Petroleum Corporation","1.02","$108.47M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas","NASDAQ"
"ACTG","Acacia Research Corporation","3.8","$192.8M","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg","NASDAQ"
"ACHC","Acadia Healthcare Company, Inc.","60.08","$4.31B","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/achc","NASDAQ"
"ACAD","ACADIA Pharmaceuticals Inc.","24.52","$2.47B","1985","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acad","NASDAQ"
